local code,text,table_name,parent_varname,local code system,code,display,code system,comment
Please specify other thyroid dysfunction,Please specify other thyroid dysfunction,condition,MONDO Code,condition_description,0003240,thyroid gland disorder,http://purl.obolibrary.org/obo/mondo.owl,
Tinea barbae and tinea capitis,Tinea barbae and tinea capitis,condition,MONDO Code,condition_description,0004678,dermatophytosis,http://purl.obolibrary.org/obo/mondo.owl,
Tuberculosis or latent TB,Tuberculosis or latent TB,condition,MONDO Code,condition_description,0018076,tuberculosis,http://purl.obolibrary.org/obo/mondo.owl,
Metrorrhagia,Metrorrhagia,condition,HPO Code,condition_description,0100608,Metrorrhagia,http://purl.obolibrary.org/obo/hp.owl,
Pulmonary Hypertension,Pulmonary Hypertension,condition,MONDO Code,condition_description,0005149,pulmonary hypertension,http://purl.obolibrary.org/obo/mondo.owl,
VSD,VSD,condition,MONDO Code,condition_description,0002070,ventricular septal defect,http://purl.obolibrary.org/obo/mondo.owl,
Abnormalities of gait and mobility,Abnormalities of gait and mobility,condition,HPO Code,condition_description,0001288,Gait disturbance,http://purl.obolibrary.org/obo/hp.owl,
Type 1 Diabetes,Type 1 Diabetes,condition,MONDO Code,condition_description,0005147,type 1 diabetes mellitus,http://purl.obolibrary.org/obo/mondo.owl,
Specify other cardiac condition(s),Specify other cardiac condition(s),condition,MONDO Code,condition_description,0004995,cardiovascular disorder,http://purl.obolibrary.org/obo/mondo.owl,
Hemolytic anemia,Hemolytic anemia,condition,MONDO Code,condition_description,0003664,hemolytic anemia,http://purl.obolibrary.org/obo/mondo.owl,
Expressive language disorder,Expressive language disorder,condition,MONDO Code,condition_description,0001276,expressive language disorder,http://purl.obolibrary.org/obo/mondo.owl,
Laryngomalacia,Laryngomalacia,condition,MONDO Code,condition_description,0007878,congenital laryngomalacia,http://purl.obolibrary.org/obo/mondo.owl,
Undescended testicles,Undescended testicles,condition,MONDO Code,condition_description,0009047,cryptorchidism,http://purl.obolibrary.org/obo/mondo.owl,
Kidney Disease,Kidney Disease,condition,MONDO Code,condition_description,0005240,"impaired renal function disease, kidney disorder",http://purl.obolibrary.org/obo/mondo.owl,
Kidney Disease,Kidney Disease,condition,MONDO Code,condition_description,0001343,"impaired renal function disease, kidney disorder",http://purl.obolibrary.org/obo/mondo.owl,
Eustachian Tube Dysfunction,Eustachian Tube Dysfunction,condition,MONDO Code,condition_description,0004866,eustachian tube disorder,http://purl.obolibrary.org/obo/mondo.owl,
Specify other pulmonary condition,Specify other pulmonary condition,condition,MONDO Code,condition_description,0005087,respiratory system disorder,http://purl.obolibrary.org/obo/mondo.owl,
chronic ischemic heart diseases,chronic ischemic heart diseases,condition,MONDO Code,condition_description,0005010,coronary artery disorder,http://purl.obolibrary.org/obo/mondo.owl,
Vesicoureteral reflux,Vesicoureteral reflux,condition,MONDO Code,condition_description,0006007,vesicoureteral reflux,http://purl.obolibrary.org/obo/mondo.owl,
Strabismus,Strabismus,condition,MONDO Code,condition_description,0003432,strabismus,http://purl.obolibrary.org/obo/mondo.owl,
Atherosclerotic heart disease of native coronary artery,Atherosclerotic heart disease of native coronary artery,condition,MONDO Code,condition_description,0005010,coronary artery disorder,http://purl.obolibrary.org/obo/mondo.owl,
Acute bronchitis,Acute bronchitis,condition,MONDO Code,condition_description,0003781,bronchitis,http://purl.obolibrary.org/obo/mondo.owl,
Dysphagia,Dysphagia,condition,HPO Code,condition_description,0002015,Dysphagia,http://purl.obolibrary.org/obo/hp.owl,
Seborrheic Dermatitis,Seborrheic Dermatitis,condition,MONDO Code,condition_description,0006608,seborrheic dermatitis,http://purl.obolibrary.org/obo/mondo.owl,
Cellulitis,Cellulitis,condition,MONDO Code,condition_description,0005230,cellulitis,http://purl.obolibrary.org/obo/mondo.owl,
Hypertension,Hypertension,condition,MONDO Code,condition_description,0005044,hypertensive disorder,http://purl.obolibrary.org/obo/mondo.owl,
Impetigo,Impetigo,condition,MONDO Code,condition_description,0004592,impetigo,http://purl.obolibrary.org/obo/mondo.owl,
Gout,Gout,condition,MONDO Code,condition_description,0005393,gout,http://purl.obolibrary.org/obo/mondo.owl,
Do not resuscitate status,Do not resuscitate status,condition,Other Code,condition_description,Z66,Do not resuscitate,http://hl7.org/fhir/sid/icd-10-cm,
Irritable bowel syndrome,Irritable bowel syndrome,condition,MONDO Code,condition_description,0005052,irritable bowel syndrome,http://purl.obolibrary.org/obo/mondo.owl,
Impacted cerumen,Impacted cerumen,condition,HPO Code,condition_description,0030788,Impacted cerumen,http://purl.obolibrary.org/obo/hp.owl,
Meniere's disease,Meniere's disease,condition,MONDO Code,condition_description,0007972,Meniere disease,http://purl.obolibrary.org/obo/mondo.owl,
cholesteatoma of external ear,cholesteatoma of external ear,condition,MONDO Code,condition_description,0006532,cholesteatoma of external ear,http://purl.obolibrary.org/obo/mondo.owl,
orthostatic hypotension,orthostatic hypotension,condition,MONDO Code,condition_description,0005469,orthostatic hypotension,http://purl.obolibrary.org/obo/mondo.owl,
"Unspecified blepharitis unspecified eye, unspecified eyelid","Unspecified blepharitis unspecified eye, unspecified eyelid",condition,MONDO Code,condition_description,0004785,blepharitis,http://purl.obolibrary.org/obo/mondo.owl,
disorder_of_adrenal_gland_unspecified,disorder_of_adrenal_gland_unspecified,condition,MONDO Code,condition_description,0000004,adrenocortical insufficiency,http://purl.obolibrary.org/obo/mondo.owl,
Hypospadias,Hypospadias,condition,MONDO Code,condition_description,0005345,hypospadias,http://purl.obolibrary.org/obo/mondo.owl,
Cervical Myelopathy,Cervical Myelopathy,condition,HPO Code,condition_description,0002318,Cervical myelopathy,http://purl.obolibrary.org/obo/hp.owl,
